facility_name,program_name,facility_address,facility_city,facility_zip
USC MAIN KITCHEN-BASEMENT,USC MAIN KITCHEN-BASEMENT,3607 TROUSDALE PKWY,LOS ANGELES,90089
DONUT DEPOT,DONUT DEPOT,20451 SHERMAN WAY,WINNETKA,91306
LOS BALCONES DEL PERU,LOS BALCONES DEL PERU,1360 N VINE ST,LOS ANGELES,90028
MCDONALD'S #779,MCDONALD'S RESTAURANT #779,11612 E VALLEY BLVD,EL MONTE,91732
RALPHS GROCERY MARKET CO,RALPH'S MEAT DEPT # 250,20137 S PIONEER BLVD,LAKEWOOD,90715
STAPLES CENTER (LEVY),LEXUS CLUB,1111 S FIGUEROA ST,LOS ANGELES,90015
LUCKY ROXY'S CAFE,LUCKY ROXY'S CAFE,405 W PALMDALE BLVD,PALMDALE,93551
SOUPLANTATION # 96,SOUPLANTATION,19801 RINALDI ST,PORTER RANCH,91326
MEXICO BAKERY #3,MEXICO BAKERY #3,1180 E PHILADELPHIA ST UNIT 6,POMONA,91766
SUNNY BLUE,SUNNY BLUE,12608 W WASHINGTON BLVD # A,CULVER CITY,90066
FALAFEL SHACK,FALAFEL SHACK,12206 ARTESIA BLVD,ARTESIA,90701
INDIA FRESH,INDIA FRESH,553 N AZUSA AVE,COVINA,91722
MELODY BEER & WINE MARKET,MELODY BEER & WINE MARKET,10717 S VERMONT AVE,LOS ANGELES,90044
BEN'S BAKERY,BEN'S BAKERY,119 SUMNER AVE STE G,AVALON,90704
OPEN SOURCE ORGANICS,OPEN SOURCE ORGANICS,7107 W SUNSET BLVD,LOS ANGELES,90046
THE IVY,THE IVY,113 N ROBERTSON BLVD,LOS ANGELES,90048
CHIPOTLE MEXICAN GRILL,CHIPOTLE,19332 NORDHOFF ST,NORTHRIDGE,91324
FOUR SEASONS HOTEL EMPL.CAFE,FOUR SEASONS HOTEL EMPLOYEE CAFETERIA,2 DOLE DR,WESTLAKE VILLAGE,91362
WHOLE FOODS MARKET,WHOLE FOODS (SEAFOOD DEPT),760 S PACIFIC COAST HWY,EL SEGUNDO,90245
OUMI SUSHI @ SPROUTS 275,OUMI SUSHI @ SPROUTS 275,1751 WESTWOOD BLVD,LOS ANGELES,90024
THE VITAMIN SHOPPE #608,THE VITAMIN SHOPPE,24280 VALENCIA BLVD,VALENCIA,91355
ORCHARD SUPPLY HARDWARE,ORCHARD SUPPLY HARDWARE,2020 BUNDY DR,LOS ANGELES,90025
TAM'S BURGERS NO 9,TAM'S BURGER N 9,11816 LONG BEACH BLVD,LYNWOOD,90262
COZY THAI,COZY THAI,2550 E AMAR RD STE #A7,WEST COVINA,91792
VALLARTA SUPERMARKET #20,VALLARTA SUPERMARKET DELI,1803 E PALMDALE BLVD,PALMDALE,93550
DOMINO'S PIZZA #8224,DOMINO'S PIZZA #8224,8320 LINCOLN BLVD,LOS ANGELES,90045
DEL TACO #883,DEL TACO #883,28082 THE OLD RD,VALENCIA,91355
BUI SUSHI,BUI SUSHI,23733 W MALIBU RD,MALIBU,90265
LOS ANGELES COMMUNITY HOSPITAL AT BELLLOWER,LOS ANGELES COMMUNITY HOSPITAL AT BELLLOWER,9542 ARTESIA BLVD,BELLFLOWER,90706
KIKKA @ RALPHS # 81,RALPHS #81 KIKKA,21909 VENTURA BLVD,WOODLAND HILLS,91367
ARA'S PASTRY,ARA'S PASTRY,4945 HOLLYWOOD BLVD,LOS ANGELES,90027
INTERCONTINENTAL HOTEL LOS ANGELES CENTURY CITY,INTERCONTINENTAL HOTEL LOS ANGELES CENTURY CITY - BANQUET KITCHEN,2151 AVENUE OF THE STARS,LOS ANGELES,90067
TARGET STORES #1307,STARBUCKS-INSIDE TARGET,5711 SEPULVEDA BLVD,VAN NUYS,91411
LA RAZA FOODS,LA RAZA FOODS,7782 SAN FERNANDO RD,SUN VALLEY,91352
ANARBAGH INDIAN RESTAURANT,ANARBAGH INDIAN RESTAURANT,138 S BEVERLY DR,BEVERLY HILLS,90212
ROONG-FAH RESTAURANT,ROONG-FAH RESTAURANT,4507 E VALLEY BLVD STE #101,LOS ANGELES,90032
MENCHIE'S,MENCHIE'S,245 N BARRANCA ST STE #14,WEST COVINA,91791
ASTRO/AZABU RESTAURANT,ASTRO/AZABU RESTAURANT,2212 ARTESIA BLVD,TORRANCE,90504
MARMALADE CAFE,MARMALADE CAFE,710 MONTANA AVE,SANTA MONICA,90403
PANADERIA MEXICO,PANADERIA MEXICO,6817 WOODMAN AVE,VAN NUYS,91405
THINK CAFE,THINK CAFE,302 W 5TH ST,SAN PEDRO,90731
CAPTAIN KIDD'S FISH MARKET,CAPTAIN KIDD'S FISH REST,209 N HARBOR DR,REDONDO BEACH,90277
POLLO CAMPERO,POLLO CAMPERO,1605 W OLYMPIC BLVD # 120,LOS ANGELES,90015
BITES II,BITES II,10940 WILSHIRE BLVD # 110,LOS ANGELES,90024
PHO SAIGON,PHO SAIGON,3831 W 6TH ST,LOS ANGELES,90020
MI TIERRA BAKERY AND FAST FOODS,MI TIERRA BAKERY AND FAST FOODS,10500 S INGLEWOOD AVE,LENNOX,90304
IT'S BOBA TIME GARDENA,IT'S BOBA TIME GARDENA,15482 S WESTERN AVE,GARDENA,90249
85 'C BAKERY CAFE,85 'C BAKERY CAFE,17170 COLIMA RD STE #A,HACIENDA HEIGHTS,91745
CHENNAI DOSA,CHENNAI DOSA,18413 PIONEER BLVD,ARTESIA,90701
ESCALA,CANDELARIA,3451 W 6TH ST,LOS ANGELES,90020
WEINGART HOTEL,BRIDGE/CRISIS HOUSING -WGC CAFE @554 S SAN PEDRO ST,566 S SAN PEDRO ST,LOS ANGELES,90013
RALPHS MARKET #206,RALPHS MARKET - BAKERY #206,5429 HOLLYWOOD BLVD,LOS ANGELES,90027
BEN'S MARKET,BEN'S MARKET,7086 E GAGE AVE,CUDAHY,90040
JACK IN THE BOX # 326,JACK IN THE BOX,4470 EAGLE ROCK BLVD,LOS ANGELES,90041
SUBWAY #5964,SUBWAY #5964,5416 NORWALK BLVD,WHITTIER,90601
RICHARD'S LIQUOR,RICHARD'S LIQUOR,3128 MARTIN LUTHER KING BLVD,LYNWOOD,90262
THE BOILING CRAB,THE BOILING CRAB,33 W MAIN ST,ALHAMBRA,91801
MIRACLE MARKET,MIRACLE MARKET,800 W ALONDRA BLVD,COMPTON,90220
LITTLE BEJING CHINESEFASTFOO,LITTLE BEJING CHINESEFASTFOO,550 S WORKMAN MILL RD,LA PUENTE,91746
BIG TUNA II,BIG TUNA II,43530 W 10TH ST W STE #111,LANCASTER,93534
EL VENADO,EL VENADO,1007 S ALVARADO ST,LOS ANGELES,90006
GUDA BBQ,GUDA BBQ,356 S WESTERN AVE # 203,LOS ANGELES,90020
7-ELEVEN #21044B,7-ELEVEN #21044B,14835 S PIONEER BLVD,NORWALK,90650
SANTOYO'S SNACK BAR,SANTOYO'S SNACK BAR,110 N GRAND AVE 4TH FLOOR,LOS ANGELES,90012
GIUSEPPE'S RESTAURANT,GIUSEPPE'S RESTAURANT,23701 ROSCOE BLVD,CANOGA PARK,91304
YEN SUSHI,YEN SUSHI,11819 WILSHIRE BLVD STE 101,LOS ANGELES,90025
SUBWAY #3707,SUBWAY #3707,289 S ATLANTIC BLVD,LOS ANGELES,90022
VONS MARKET #2268,VONS #2268 MEAT,1430 S FAIRFAX AVE,LOS ANGELES,90019
CALIFORNIA CHICKEN CAFE,CALIFORNIA CHICKEN CAFE,6805 MELROSE AVE,LOS ANGELES,90038
VEGAS SEAFOOD BUFFET,VEGAS SEAFOOD BUFFET,7021 HOLLYWOOD BLVD # 110,LOS ANGELES,90028
RANCHO PARK GARDENS RESTAURANT,RANCHO PARK GARDENS RESTAURANT,10460 W PICO BLVD,LOS ANGELES,90064
HABANERO MEXICAN GRILL,HABANERO MEXICAN GRILL,9003 E FAIRVIEW AVE,SAN GABRIEL,91775
RALPHS GROCERY CAFETERIA,RALPHS GROCERY CAFETERIA,1100 W ARTESIA BLVD,COMPTON,90220
SPROUTS FARMERS MARKET #204,SPROUTS FARMERS MARKET #204,4230 PACIFIC COAST HWY,TORRANCE,90505
CARL'S JR #29,CARLS JR #29,852 W AVENUE L,LANCASTER,93534
THE HILL,THE HILL,8442 WILSHIRE BLVD,BEVERLY HILLS,90211
AXTAMAR RESTAURANT,AXTAMAR RESTAURANT,360 W COLORADO ST,GLENDALE,91201
PEPPERS JAMAICAN CUISINE,PEPPERS JAMAICAN CUISINE,2166 W SLAUSON AVE,LOS ANGELES,90047
SWEETGREEN,SWEETGREEN,6115 W SUNSET BLVD # 130,LOS ANGELES,90028
DONUT FACTORY,DONUT FACTORY,14050 BURBANK BLVD,VAN NUYS,91401
MAURO'S CAFE,MAURO'S CAFE,8112 MELROSE AVE,LOS ANGELES,90046
"JAMAICA'S BEST, INC.","JAMAICA'S BEST, INC.",10842 MAGNOLIA BLVD,NORTH HOLLYWOOD,91601
THE HAT,THE HAT,611 W ROUTE 66,GLENDORA,91740
CHINA EXPRESS,CHINA EXPRESS,14365 S CLARK AVE,BELLFLOWER,90706
MESTIZO RESTAURANT,MESTIZO RESTAURANT,15418 LASSEN ST,MISSION HILLS,91345
GLENDORA NUTRISHOP,GLENDORA NUTRISHOP,750 W ROUTE 66 STE #L,GLENDORA,91740
MENCHIE'S,MENCHIE'S,5622 SAWTELLE BLVD,CULVER CITY,90230
GREENLAND MARKET DELI DEPT,GREENLAND MARKET DELI DEPT,17643 SHERMAN WAY,VAN NUYS,91406
RONNIE'S DINER,RONNIE'S DINER,12740 CULVER BLVD STE J,LOS ANGELES,90066
THE CORNER COTTAGE,THE CORNER COTTAGE,310 VICTORY BLVD,BURBANK,91502
IAM MARKET,IAM MARKET,7928 MELROSE AVE,LOS ANGELES,90046
THE BLACK SHEEP,THE BLACK SHEEP,126 E 6TH ST,LOS ANGELES,90014
JACK IN THE BOX #5303,JACK IN THE BOX #5303,14611 DALEWOOD ST,BALDWIN PARK,91706
THAI ORCHID GARDEN,THAI ORCHID GARDEN,315 E FOOTHILL BLVD,POMONA,91767
GAUCHO GRILL,GAUCHO GRILL,269 E PALM AVE,BURBANK,91502
ANGELES NATIONAL RESTAURANT,ANGELES NATIONAL RESTAURANT,9401 FOOTHILL BLVD,SUNLAND,91040
REY REY MINI MARKET,REY REY MINI MARKET,7910 S AVALON BLVD,LOS ANGELES,90003
SMART & FINAL #598,SMART & FINAL # 598(MEAT),4237 WOODRUFF AVE,LAKEWOOD,90713
RALPHS MARKET #269,RALPHS MEAT DEPT. #269,11873 S HAWTHORNE BLVD,HAWTHORNE,90250
JACK IN THE BOX #151,JACK IN THE BOX #151,5075 WHITTIER BLVD,LOS ANGELES,90022
CALIFORNIA DINING SERVICE,CALIFORNIA DINING SERVICE,1980 SATURN ST,MONTEREY PARK,91755
PORTUCAL PERI PERI,PORTUCAL PERI PERI,130 N SAN FERNANDO BLVD,BURBANK,91502
THE LOCAL YOLK,THE LOCAL YOLK,3414 HIGHLAND AVE,MANHATTAN BEACH,90266
O. TOFU HOUSE,O. TOFU HOUSE,16904 DEVONSHIRE ST,GRANADA HILLS,91344
THE GLEN,THE GLEN,7356 STEWART AND GRAY RD,DOWNEY,90241
LA FLOR DE MICHOACAN MKT & B,LA FLOR DE MICHOACAN MKT & B,12116 VANOWEN ST,NORTH HOLLYWOOD,91605
ROBEKS JUICE,ROBEKS JUICE,15301 VENTURA BLVD STE P-15,SHERMAN OAKS,91403
SODEXO CAFE,SODEXO CAFE,950 S GRAND AVE #1,LOS ANGELES,90015
DOMINOS PIZZA #8144,DOMINOS PIZZA #8144,24404 HAWTHORNE BLVD,TORRANCE,90505
KING KEBAB AND BAKERY,KING KEBAB AND BAKERY,4543 W ROSECRANS AVE,HAWTHORNE,90250
GOLDEN BIRD GARDENA,GOLDEN BIRD GARDENA,14903 S WESTERN AVE,GARDENA,90249
OP CAFE,OP CAFE,3117 OCEAN PARK BLVD,SANTA MONICA,90405
FRESH DONUTS,FRESH DONUTS,560 S WORKMAN MILL RD,LA PUENTE,91746
BEL-AIR BAY CLUB,BEL-AIR BAY CLUB,16800 PACIFIC COAST HWY,PACIFIC PALISADES,90272
WALGREENS #07912,WALGREENS,2750 SAN GABRIEL BLVD,ROSEMEAD,91770
TORTAS AHOGADAS GUADALAJARA,TORTAS AHOGADAS GUADALAJARA,6042 SANTA FE AVE,HUNTINGTON PARK,90255
LOS COMPADRES MEAT MARKET,LOS COMPADRES MEAT MARKET,4483 E WHITTIER BLVD,LOS ANGELES,90022
KIM'S RESTAURANT,KIM'S RESTAURANT,3860 S CRENSHAW BLVD UNIT #105,LOS ANGELES,90008
JIMMY'S KOUZINA,JIMMY'S KOUZINA,1001 MANHATTAN AVE,MANHATTAN BEACH,90266
GRANNY'S DONUTS,GRANNY'S DONUTS,1681 N EASTERN AVE,LOS ANGELES,90063
WHOLE FOODS MARKET,WHOLE FOODS MEAT MARKET,2201 WILSHIRE BLVD # #320,SANTA MONICA,90403
IL POOM REST.,IL POOM REST.,21050 GOLDEN SPRINGS DR # 103,DIAMOND BAR,91789
RALPHS MARKET #86,RALPHS DELI #86,3827 CULVER CTR,CULVER CITY,90232
POPEYE DUMPLING AND NOODLES,POPEYE DUMPLING AND NOODLES,709 S VERMONT AVE,LOS ANGELES,90005
PHO BAC,PHO BAC,8454 RESEDA BLVD,NORTHRIDGE,91324
STARBUCKS,STARBUCKS,1200 GRAND CENTRAL AVE,GLENDALE,91201
SUBWAY #868,SUBWAY #868,101 N VICTORY BLVD STE #N,BURBANK,91502
BOBA KING,BOBA KING,975 S VERMONT AVE STE #101,LOS ANGELES,90006
DAIRY QUEEN - ORANGE JULIUS,DAIRY QUEEN - ORANGE JULIUS,26541 BOUQUET CANYON RD,SANTA CLARITA,91350
TAQUERIA TAPATIO #6,TAQUERIA TAPATIO #6,7214 JORDAN AVE,CANOGA PARK,91303
HAYATY CAFE AND BAKERY,HAYATY CAFE,12519 BURBANK BLVD,VALLEY VILLAGE,91607
FISH IN THE VILLAGE MARKET,FISH IN THE VILLAGE MARKET,12450 BURBANK BLVD STE #B,VALLEY VILLAGE,91607
CHINA MAX,CHINA MAX,1600 S AZUSA AVE UNIT 169F,INDUSTRY,91748
NEW METRO MANILA MART,NEW METRO MANILA MART,13922 RAMONA BLVD STE A,BALDWIN PARK,91706
CLEMEN'S RESTAURANT,CLEMEN'S RESTAURANT,3551 S WESTERN AVE,LOS ANGELES,90018
TWO GUNS ESPRESSO #2,TWO GUNS ESPRESSO #2,601 S FIGUEROA ST,LOS ANGELES,90017
JAMBA JUICE #330,JAMBA JUICE #330,10955 VENTURA BLVD,STUDIO CITY,91604
FARM CUISINE,FARM CUISINE,122 W GARVEY AVE # #C,MONTEREY PARK,91754
CHURCH'S FRIED CHICKEN #949,CHURCH'S FRIED CHICKEN #949,2206 W ROSECRANS AVE,GARDENA,90249
QUIZNOS,QUIZNOS,137 N MONTEBELLO BLVD,MONTEBELLO,90640
TORO SUSHI & POKE HOUSE,TORO SUSHI & POKE HOUSE,144 N SAN FERNANDO BLVD,BURBANK,91502
EL SAUZ TACOS,EL SAUZ TACOS,4432 SAN FERNANDO RD,GLENDALE,91204
FOSTAR'S DONUTS,FOSTAR'S DONUTS,16205 DEVONSHIRE ST,GRANADA HILLS,91344
WALGREENS #06976,WALGREENS,37160 E 47TH ST E,PALMDALE,93552
GROW,GROW - DELI,300 S SANTA FE AVE,LOS ANGELES,90013
PRONTO CAFFE & TEA,PRONTO CAFFE & TEA,3530 WILSHIRE BLVD STE 102,LOS ANGELES,90010
HIBIKI BUFFET,HIBIKI BUFFET,16435 E WHITTIER BLVD,WHITTIER,90606
SEVEN BAR AND RESTAURANT,SEVEN BAR AND RESTAURANT,555 W 7TH ST,LOS ANGELES,90014
NORM'S RESTAURANT,NORM'S,17844 LAKEWOOD BLVD,BELLFLOWER,90706
SUBWAY 11669,SUBWAY 11669,10368 MASON AVE,CHATSWORTH,91311
SUPERIOR GROCERS #143,SUPERIOR GROCERS #143-MEAT,4308 E SLAUSON AVE,MAYWOOD,90270
JINSOL GUKBAP,JINSOL GUKBAP,4253 W 3RD ST,LOS ANGELES,90020
BIG LOTS #4315,BIG LOTS #4315,1815 W SLAUSON AVE,LOS ANGELES,90062
KIWI CAFE,KIWI CAFE,657 E ARROW HWY STE #A,GLENDORA,91740
INDIA'S RESTAURANT,"MULTANI & SINGH, INC.",4366 FOUNTAIN AVE,LOS ANGELES,90029
CHINO BUFFET,CHINO BUFFET,660 INDIAN HILL BLVD,POMONA,91767
PRIME CUT BEEF JERKY,PRIME CUT BEEF JERKY,2017 S HACIENDA BLVD,HACIENDA HEIGHTS,91745
DON CUCO RESTAURANT,DON CUCO RESTAURANT,3911 W RIVERSIDE DR,BURBANK,91505
THE TRIPEL,THE TRIPEL,333 CULVER BLVD,PLAYA DEL REY,90293
FAT BULL CAFE,FAT BULL CAFE,120 N SAN GABRIEL BLVD # I,SAN GABRIEL,91775
DONUT CLUB #3,DONUT CLUB #3,101 E FOOTHILL BLVD STE 33,POMONA,91767
DANISH DONUTS AND BAKERY,DANISH DONUTS AND BAKERY,38745 TIERRA SUBIDA AVE,PALMDALE,93551
JEFFERSON DISCOUNT STORE,JEFFERSON DISCOUNT STORE,1765 W JEFFERSON BLVD,LOS ANGELES,90018
TAQUERIA EMANUEL,TAQUERIA EMANUEL,6350 VAN NUYS BLVD,VAN NUYS,91401
PEKING RESTAURANT,PEKING RESTAURANT,11039 DOWNEY AVE,DOWNEY,90241
VONS MARKET #2283,VONS BAKERY #2283,1221 S GAFFEY ST,SAN PEDRO,90731
MI QUERIDO PULGARCITO PUPUSE,MI QUERIDO PULGARCITO PUPUSE,1606 W WASHINGTON BLVD,LOS ANGELES,90007
PIONEER EVENT CENTER,PIONEER EVENT CENTER,45000 VALLEY CENTRAL WAY,LANCASTER,93536
ALOHA FOOD FACTORY,ALOHA FOOD FACTORY,2990 W VALLEY BLVD,ALHAMBRA,91803
CINCO,CINCO,7241 W MANCHESTER AVE,LOS ANGELES,90045
OK FOOD CORROL,OK FOOD CORROL,5550 PEARBLOSSOM HWY,PALMDALE,93552
FABROCINI'S,FABROCINI'S,2960 N BEVERLY GLEN CIR,LOS ANGELES,90077
FRESH BROTHERS,FRESH BROTHERS,1447 LINCOLN BLVD,SANTA MONICA,90401
KABAYO CHAM BADA,KABAYO CHAM BADA,201 N WESTERN AVE,LOS ANGELES,90004
VINCE'S PASTA AND PIZZA,VINCE'S PASTA AND PIZZA,2833 W AVENUE L,LANCASTER,93536
4 AMIGOS,4 AMIGOS,12725 S VERMONT AVE,LOS ANGELES,90044
GENE'S GRINDERS,GENE'S GRINDERS,800 S MYRTLE AVE,MONROVIA,91016
DOC'S INN,DOC'S INN,23912 LYONS AVE,NEWHALL,91321
A CUT ABOVE BUTCHER SHOP,A CUT ABOVE BUTCHER SHOP,2453 SANTA MONICA BLVD,SANTA MONICA,90404
POR VENIR,POR VENIR,3000 S MAPLE AVE,LOS ANGELES,90011
SENKA INTERNATIONAL,SENKA INTERNATIONAL,138 ASTRONAUT ELLISON ONIZUKA ST,LOS ANGELES,90012
COOGIES CAFE,COOGIES CAFE,2906 SANTA MONICA BLVD,SANTA MONICA,90404
GARDUNO'S DEPORTES AND TACOS,GARDUNO'S DEPORTES AND TACOS,9823 VALLEY BLVD,EL MONTE,91731
ELITE SPORTS AND GAMING LOUNGE,ELITE SPORTS AND GAMING LOUNGE,12655 VENTURA BLVD,STUDIO CITY,91604
T & A TACOS,T & A TACOS,7606 EASTERN AVE,BELL GARDENS,90201
JACKSONS FOOD AND DRINK,JACKSONS FOOD AND DRINK,2041 ROSECRANS AVE STE 190,EL SEGUNDO,90245
7-ELEVEN FOOD MARKET,SEVEN ELEVEN FOOD MARKET,601 S FREMONT AVE,ALHAMBRA,91803
SEVAN CHICKEN,SEVAN CHICKEN,601 W GLENOAKS BLVD,GLENDALE,91202
ONO HAWAIIAN BBQ #022,ONO HAWAIIAN BBQ #022,12028 LAKEWOOD BLVD,DOWNEY,90242
BAJA FRESH,BAJA FRESH,2921 LOS FELIZ BLVD STE 1,LOS ANGELES,90039
PRONTO'S BURGERS,PRONTO'S BURGERS,291 W VICTORIA ST,GARDENA,90248
DESIGN CAFE,DESIGN CAFE,8687 MELROSE AVE,WEST HOLLYWOOD,90069
LITTLE JEWEL OF NEW ORLEANS,LITTLE JEWEL OF NEW ORLEANS,207 ORD ST,LOS ANGELES,90012
TERIYAKI MASHDAYA,TERIYAKI MASHDAYA,20123 SATICOY ST,WINNETKA,91306
MCDONALD'S # 11773,MCDONALD'S # 11773,9107 VAN NUYS BLVD,PANORAMA CITY,91402
BLACK BAMBOO SUSHI,BLACK BAMBOO SUSHI,724 YARMOUTH RD,PALOS VERDES ESTATES,90274
WABA GRILL TERIYAKI HOUSE,WABA GRILL TERIYAKI HOUSE,14219 S WESTERN AVE STE #E-F,GARDENA,90249
GELADO,GELADO,23762 NEWHALL AVE,SANTA CLARITA,91321
DOMINO'S PIZZA,DOMINOS PIZZA,433 N GLENOAKS BLVD,BURBANK,91502
BURGER KING #1054,BURGER KING #1054,7956 LANKERSHIM BLVD,NORTH HOLLYWOOD,91605
MOTHER'S NUTRITIONAL CENTER,MOTHER'S NUTRITIONAL CENTER,8530 VAN NUYS BLVD,PANORAMA CITY,91402
TOM'S JR BURGER #8,TOM'S JR BURGER #8,1725 N LONG BEACH BLVD,COMPTON,90221
LOS ALCANTRACES,LOS ALCANTRACES,3773 S WESTERN AVE,LOS ANGELES,90018
LOS GUERITOS,LOS GUERITOS,1903 S MAPLE AVE,LOS ANGELES,90015
ELEGANT AFFAIRS,ELEGANT AFFAIRS,42525 10TH ST W,LANCASTER,93534
CARNITAS MICHOACANAS,CARNITAS MICHOACANAS,6200 EASTERN AVE STE J,BELL GARDENS,90201
BIRRIERIA GUADALAJARA,BIRRIERIA GUADALAJARA,15102 S PARAMOUNT BLVD,PARAMOUNT,90723
SEVAN MEAT & FISH MARKET,SEVAN MEAT & FISH MARKET,1037 E BROADWAY,GLENDALE,91205
BO NUAGE,BO NUAGE,9523 SANTA MONICA BLVD,BEVERLY HILLS,91212
HARAJUKU CREPE,HARAJUKU CREPE,9405 S SANTA MONICA BLVD,BEVERLY HILLS,90210
OLIVER CAFE & LOUNGE,OLIVER CAFE & LOUNGE,1835 S SEPULVEDA BLVD,LOS ANGELES,90025
HILTON,HILTON-MANDARIN & ROOM SERVI,555 UNIVERSAL HOLLYWOOD DR,UNIVERSAL CITY,91608
EL POLLO LOCO #5491,EL POLLO LOCO #5491,12643 SHERMAN WAY # 00000,NORTH HOLLYWOOD,91605
TEAVANA #308,TEAVANA #308,9301 TAMPA AVE STE 171,NORTHRIDGE,91324
LAST DROP CAFE,LAST DROP CAFE,119 N HARVARD AVE,CLAREMONT,91711
PHO HANA RESTAURANT,PHO HANA RESTAURANT,22815 HAWTHORNE BLVD,TORRANCE,90505
CHINA CATERING,CHINA CATERING,8250 W BEVERLY BLVD,LOS ANGELES,90048
WHALE AND ALE,WHALE AND ALE,327 W 7TH ST,SAN PEDRO,90731
PANDA EXPRESS #1700,PANDA EXPRESS #1700,2260 S AZUSA AVE STE D,WEST COVINA,91792
CALIFORNIA FISH GRILL,CALIFORNIA FISH GRILL,11421 SOUTH ST,CERRITOS,90703
RESTAURANT MEXICO 86,RESTAURANT MEXICO 86,3272 E GAGE AVE,HUNTINGTON PARK,90255
LA PUENTE BAKERY,LA PUENTE BAKERY RESTAURANT,15751 E AMAR RD,LA PUENTE,91744
TWISTED OAK TAVERN,TWISTED OAK TAVERN,30105 AGOURA RD,AGOURA HILLS,91302
SLOAN'S TOPANGA VALLAGE,SLOAN'S,6250 TOPANGA CANYON BLVD STE 1560,WOODLAND HILLS,91367
BEVERLY CALIFORNIA MEAT MKT,BEVERLY CALIFORNIA MEAT MKT,4317 W BEVERLY BLVD,LOS ANGELES,90004
SWEETTOOTH YOGURT,SWEETTOOTH YOGURT,7036 GREENLEAF ST,WHITTIER,90601
BORDER GRILL,BORDER GRILL,380 WORLD WAY T38,LOS ANGELES,90045
MR. DIM SUM,MR. DIM SUM,1247 N GRAND AVE,WALNUT,91789
EQUESTRIAN CTR BAR #1,EQUESTRIAN CTR BAR #1,16000 E TEMPLE AVE,LA PUENTE,91744
TAQUERIA AZTECA,TAQUERIA AZTECA,10814 1/2 MAIN ST,EL MONTE,91732
EL RANCHO FRESH MARKET,EL RANCHO FRESH MARKET,11805 S VERMONT AVE,LOS ANGELES,90044
7-ELEVEN #19709D,7-ELEVEN #19709D,265 W OLIVE AVE,BURBANK,91502
SATU THAI BISTRO,SATU THAI BISTRO,160 W SIERRA MADRE AVE,AZUSA,91702
9021 PHO,9021 PHO,7950 W SUNSET BLVD,LOS ANGELES,90046
RALPHS MARKET #48,RALPH'S MEAT #48,3300 W SLAUSON AVE,LOS ANGELES,90043
LOUIES CHINESE CUISINE II,LOUIES CHINESE CUISINE II,1936 S PACIFIC AVE,SAN PEDRO,90731
CHA CAFE,CHA CAFE,10308 LOWER AZUSA RD,EL MONTE,91731
PIZZA HUT #26138,PIZZA HUT #026138,44836 W 10TH ST W,LANCASTER,93534
STEVEN'S,STEVEN'S,1407 W EL SEGUNDO BLVD,GARDENA,90249
TWO A TEA,TWO A TEA,185 N VERMONT AVE,GLENDORA,91741
ARTESIA D.E.S. PORTUGUESE HA,ARTESIA D.E.S. PORTUGUESE HA,11903 ASHWORTH ST,CERRITOS,90703
THE PARK,THE PARK,1400 W SUNSET BLVD,LOS ANGELES,90026
COURTYARD CAFE,COURTYARD CAFE,19001 S WESTERN AVE,TORRANCE,90501
BABY ELEPHANT THAI CUISINE,BABY ELEPHANT THAI CUISINE,20795 AMAR RD STE 3,WALNUT,91789
H MART LOS ANGELES,SEAFOOD DEPT. AT H MART,621 S WESTERN AVE #G03,LOS ANGELES,90005
SUNDAY CAFE,SUNDAY CAFE,396 S LOS ANGELES ST STE #26,LOS ANGELES,90013
BARGAIN ESPECIAL,BARGAIN ESPECIAL,4752 E WHITTIER BLVD,LOS ANGELES,90022
"MOVSES, GOLDEN P","MOVSES, GOLDEN P",1755 W GLENOAKS BLVD,GLENDALE,91201
MEXICAN RESTAURANT,MEXICAN RESTAURANT,16045 VANOWEN ST,VAN NUYS,91406
THE MUSIC CENTER,"DC PAVILION - FOUNDERS BAR, HOPE SIDE, 2ND FL",135 N GRAND AVE FL 2,LOS ANGELES,90012
MENCHIE'S,MENCHIE'S,8815 S SEPULVEDA BLVD,LOS ANGELES,90045
SUSHI-GEN,SUSHI-GEN,422 E 2ND ST,LOS ANGELES,90012
ARTURO'S TACOS,ARTURO'S TACOS,6319 S AVALON BLVD,LOS ANGELES,90003
LAJAMAYA,LAJAMAYA,15446 E AMAR RD,LA PUENTE,91744
TORTAS AHOGADAS EL REY #2,TORTAS AHOGADAS EL REY #2,4174 TWEEDY BLVD,SOUTH GATE,90280
MAZAL TOV RESTAURANT,MAZAL TOV RESTAURANT,6740 RESEDA BLVD # E,RESEDA,91335
DOMINO'S PIZZA #8113,DOMINO'S PIZZA #8113,12237 SANTA MONICA BLVD,LOS ANGELES,90025
EL PERICO MARKET KITCHEN,EL PERICO MARKET MEAT,10524 GARVEY AVE,SOUTH EL MONTE,91733
GOLDIE'S ROTISSERIE,GOLDIE'S ROTISSERIE,4344 WOODMAN AVE,SHERMAN OAKS,91423
CASA JIMENEZ RESTAURANT,CASA JIMENEZ RESTAURANT,11250 E WHITTIER BLVD,WHITTIER,90606
TAIPEI NING GI HOT POT REST,TAIPEI NING GI HOT POT REST,2019 1/2 S HACIENDA BLVD,HACIENDA HEIGHTS,91745
PLAYHOUSE,PLAYHOUSE,6506 HOLLYWOOD BLVD,LOS ANGELES,90028
