facility_name,program_name,facility_address,facility_city,facility_zip
THE VITAMIN SHOPPE #139,THE VITAMIN SHOPPE,9100 TAMPA AVE,NORTHRIDGE,91324
BIG O LIQUIOR,BIG O LIQUIOR,4626 S VERMONT AVE,LOS ANGELES,90037
LOCK & KEY,LOCK & KEY,239 S VERMONT AVE,LOS ANGELES,90004
THE 97 CENT STORE,THE 97 CENT STORE,27544 SIERRA HWY,CANYON COUNTRY,91351
BAB'S DAIRY FRESH,BAB'S DAIRY FRESH,3301 W IMPERIAL HWY,INGLEWOOD,90303
SUNNY BAKERY,SUNNY BAKERY,743 E VALLEY BLVD,SAN GABRIEL,91776
DA VINCI BAKERY,DA VINCI BAKERY,3868 E CESAR E CHAVEZ AVE,LOS ANGELES,90063
SUNRISE ENERGY INC.,SUNRISE ENERGY INC.,1300 N WESTERN AVE,LOS ANGELES,90027
GREEN HEALTH,GREEN HEALTH,8930 MISSION DR STE 101,ROSEMEAD,91770
PIZZA BOY,PIZZA BOY,1321 E COLORADO ST STE #C,GLENDALE,91205
ALTA-MED SENIOR CENTER,ALTA-MED SENIOR CENTER,5425 E POMONA BLVD,LOS ANGELES,90022
BLU JAM CAFE,BLU JAM CAFE,15045 VENTURA BLVD,SHERMAN OAKS,91403
CVS/PHARMACY  #09144,CVS # 09144,7021 HOLLYWOOD BLVD,LOS ANGELES,90028
AMERICAN LEGION #465,AMERICAN LEGION #465,7550 EASTERN AVE,BELL GARDENS,90201
RINALDI ROASTERS,RINALDI ROASTERS,11133 SEPULVEDA BLVD,MISSION HILLS,91345
7 DAY LIQUOR MART,7 DAY LIQUOR MART,6100 N BELLFLOWER BLVD,LAKEWOOD,90713
STOVE PIPER INC.,STOVE PIPER INC.,19563 PARTHENIA ST,NORTHRIDGE,91324
WIEN BAKERY,WIEN BAKERY,3030 SEPULVEDA BLVD,TORRANCE,90505
LA GUADALUPANA BAKERY,LA GUADALUPANA BAKERY,2520 1/4 S CENTRAL AVE,LOS ANGELES,90011
PLAYA VISTA 76,PLAYA VISTA 76,8300 LINCOLN BLVD,LOS ANGELES,90045
DOLLAR TREE #4201,DOLLAR TREE #4201,4953 WHITTIER BLVD,LOS ANGELES,90022
TEAZER JUNGLE,TEAZER JUNGLE,229 S 1ST AVE,ARCADIA,91006
SUBWAY,SUBWAY,16500 SHERMAN WAY STE A18,VAN NUYS,91406
THE MARKET,THE MARKET,2000 E MARIPOSA AVE,EL SEGUNDO,90245
GUIDO PIZZA PASTA MEDITERRANEAN CUISINE,GUIDO PIZZA PASTA MEDITERRANEAN CUISINE,16156 SAN FERNANDO MISSION BLVD # 7,GRANADA HILLS,91344
STAPLES,STAPLES,39258 W 10TH ST,PALMDALE,93551
VICKY'S MARKET,VICKY'S MARKET,5504 W ADAMS BLVD,LOS ANGELES,90016
OAK HILLS MEDICAL PHARMACY,OAK HILLS MEDICAL PHARMACY,7345 MEDICAL CENTER DR,WEST HILLS,91307
SPROUTS FARMERS MARKET,SPROUT FARMERS MARKET- MEAT,5660 SEPULVEDA BLVD,CULVER CITY,90230
TIERRA MIA COFFEE COMPANY,TIERRA MIA COFFEE COMPANY,11700 TELEGRAPH RD,SANTA FE SPRINGS,90670
MASTER DISCOUNT,MASTER DISCOUNT,1410 E FLORENCE AVE,LOS ANGELES,90001
99 - DISCOUNT STORE #1,99 - DISCOUNT STORE #1,8100 CALIFORNIA AVE STE #F,SOUTH GATE,90280
SUBWAY #2327,SUBWAY #2327,1212 W ANAHEIM ST E,HARBOR CITY,90710
RED IRON MONGOLIAN BBQ,RED IRON MONGOLIAN BBQ,251 STONEWOOD ST # 106,DOWNEY,90241
SUBWAY #3178,SUBWAY #3178,1671 W CARSON ST,TORRANCE,90501
TIPSY COW,TIPSY COW,21028 VENTURA BLVD,WOODLAND HILLS,91364
ISABELLA'S ITALIAN KITCHEN,ISABELLA'S ITALIAN KITCHEN,1220 W BURBANK BLVD,BURBANK,91506
WALGREENS #5848,WALGREENS #5848,20505 SHERMAN WAY,WINNETKA,91306
WALKERS CAFE,WALKERS CAFE,700 S PASEO DEL MAR,SAN PEDRO,90731
MAPLE MARKET,MAPLE MARKET,3000 S MAPLE AVE,LOS ANGELES,90011
COLD STONE CREAMERY #21284,COLD STONE CREAMERY #21284,9004 SEPULVEDA BLVD,NORTH HILLS,91343
LIQUOR LAND,LIQUOR LAND,11440 SANTA GERTRUDES AVE,WHITTIER,90604
K-ROLL,K-ROLL,3500 W 6TH ST # 228,LOS ANGELES,90020
BONEFISH GRILL #6509,BONEFISH GRILL,24201 VALENCIA BLVD # 3210,VALENCIA,91355
EL MERCADITO MARKET,EL MERCADITO MARKET,2700 POMEROY AVE,LOS ANGELES,90033
MINI CROISSANTS & BOBA,MINI CROISSANTS & BOBA,9843 TOPANGA CANYON BLVD,CHATSWORTH,91311
BULLWHEEL BAR AND GRILL,BULLWHEEL BAR AND GRILL,24510 STATE HIGHWAY 2,WRIGHTWOOD,92397
99 CENTS ONLY STORE #0061,99 CENTS ONLY STORES#0061,12711 SHERMAN WAY,NORTH HOLLYWOOD,91605
STARBUCKS COFFEE #508,STARBUCKS COFFEE # 508,11707 SAN VICENTE BLVD,LOS ANGELES,90049
BEVERAGES & MORE #121,BEVERAGES & MORE #121,10984 SANTA MONICA BLVD,LOS ANGELES,90025
MR. HAND TOSSED PIZZA,MR. HAND TOSSED PIZZA,18921 SOLEDAD CANYON RD,CANYON COUNTRY,91351
MCDONALD'S #22570,MCDONALDS #22570,4000 S FIGUEROA ST,LOS ANGELES,90037
SPROUTS FARMERS MARKET,SPROUTS FARMERS MARKET,920 FOOTHILL BLVD,LA CANADA FLINTRIDGE,91011
YOGURT & MORE,YOGURT & MORE,7 KERSTING CT,SIERRA MADRE,91024
CRAFT BEER CELLAR TORRANCE,CRAFT BEER CELLAR TORRANCE,24667 CRENSHAW BLVD # F,TORRANCE,90505
GOLDEN BOWL,GOLDEN BOWL,5227 PACIFIC BLVD # #12,HUNTINGTON PARK,90255
UNITED OIL #167,UNITED OIL #167,15712 NORDHOFF ST,NORTH HILLS,91343
THE WELLES BOURNE,THE WELLES BOURNE,10929 W PICO BLVD,LOS ANGELES,90064
SAN VICENTE RESTAURANT,SAN VICENTE RESTAURANT,3071 W PICO BLVD,LOS ANGELES,90006
DON JUAN MEXICAN & SEAFOOD,DON JUAN MEXICAN & SEAFOOD,42040 W 50TH ST W,LANCASTER,93536
FUGA,FUGA,111 S SAN PEDRO ST,LOS ANGELES,90012
LA BLANQUITA MARKET,LA BLANQUITA MARKET ( MEAT),4136 E CESAR E CHAVEZ AVE,LOS ANGELES,90063
D & ED LIQUOR,D & ED LIQUOR,3233 TWEEDY BLVD,SOUTH GATE,90280
PICO RIVERA GAS & CAR WASH,PICO RIVERA GAS & CAR WASH,8400 WASHINGTON BLVD,PICO RIVERA,90660
FAUBOURG RESTAURANT,FAUBOURG RESTAURANT,74 W SIERRA MADRE BLVD,SIERRA MADRE,91024
WALLY'S LIQUOR STORE,WALLY'S LIQUOR STORE,1955 S SAN PEDRO ST,LOS ANGELES,90011
7-ELEVEN #18526C,7-ELEVEN #18526C,8708 ATLANTIC AVE,SOUTH GATE,90280
CHABELO'S MEXICAN GRILL,CHABELO'S MEXICAN GRILL,31822 CASTAIC RD,CASTAIC,91384
SQUAREFRITZ,SQUAREFRITZ,1930 W OLYMPIC BLVD,LOS ANGELES,90006
SINULANG ALLKELANG,SINULANG ALLKELANG,1032 S CRENSHAW BLVD STE B,LOS ANGELES,90019
FIGUEROA PHILLY,FIGUEROA PHILLY,3850 S FIGUEROA ST,LOS ANGELES,90037
MARTHA'S MINI-MARKET,MARTHA'S MINI-MARKET,4122 S HOOPER AVE,LOS ANGELES,90011
STARBUCKS COFFEE #5814,STARBUCKS COFFEE #5814,469 BURCHETT ST,GLENDALE,91203
BLUE SALT FISH GRILL,BLUE SALT FISH GRILL,2515 ARTESIA BLVD STE #F,REDONDO BEACH,90278
TACO BELL,TACO BELL,12900 VANOWEN ST,NORTH HOLLYWOOD,91605
WOWSJ MART,WOWSJ MART,145 E MANCHESTER BLVD,INGLEWOOD,90301
AMERICAN LEGION POST 46,AMERICAN LEGION POST 46,5309 SEPULVEDA BLVD,CULVER CITY,90230
OLD PLACE,OLD PLACE,29983 MULHOLLAND HWY,AGOURA HILLS,91301
SAYERS CLUB,SAYERS CLUB,1645 WILCOX AVE,LOS ANGELES,90028
7-ELEVEN STORE #16187B,7-ELEVEN STORE #16187B,1100 N LA CIENEGA BLVD,WEST HOLLYWOOD,90069
TONY'S BAR,TONY'S BAR,4310 W PICO BLVD,LOS ANGELES,90019
CHELITAS'S CAFE,CHELITAS'S CAFE,2201 N LONG BEACH BLVD STE A31,COMPTON,90221
THE WASH ROOM,THE WASH ROOM,6333 W 3RD ST,LOS ANGELES,90036
HAPPY BAKERY,HAPPY BAKERY,11629 LOWER AZUSA RD #F,EL MONTE,91732
STARBUCKS COFFEE #6951,STARBUCKS COFFEE #6951,11023 ROSECRANS AVE,NORWALK,90650
ROSEMEAD MARKET MEAT/FISH,ROSEMEAD MARKET MAIN,8815 VALLEY BLVD,ROSEMEAD,91770
CHEVRON HASSAN 31,CHEVRON HASSAN 31,5739 N BELLFLOWER BLVD,LAKEWOOD,90712
NORTHGATE MARKET,NORTHGATE MARKET #33,2323 W OLYMPIC BLVD,LOS ANGELES,90006
DOLLAR TREE STORE #3186,DOLLAR TREE STORE #3186,501 S VINCENT AVE,WEST COVINA,91790
WIENERSCHNITZEL #85,WIENERSCHNITZEL #85,3328 FIRESTONE BLVD,SOUTH GATE,90280
EL SALTARIN,EL SALTARIN,666 S KALISHER ST,SAN FERNANDO,91340
NUTRITION SOLUTIONS,NUTRITION SOLUTIONS,13806 WHITTIER AVE,WHITTIER,90605
TOWNE SHOPPE LIQUOR,TOWNE SHOPPE LIQUOR,1201 S GAREY AVE,POMONA,91766
ROYAL LIQUOR MARKET,ROYAL LIQUOR MARKET,5472 W ADAMS BLVD,LOS ANGELES,90016
MONTEMAR MARKET,MONTEMAR MARKET,248 N NORTH AVENUE 50,LOS ANGELES,90042
DODGER STADIUM,#740 IS DODGER DOG EXPRESS,1000 VIN SCULLY AVE,LOS ANGELES,90012
HYDE PARK JR. LIQUOR MARKET,HYDE PARK JR. LIQUOR MARKET,622 CENTINELA AVE,INGLEWOOD,90302
LOVE LETTER PIZZA & CHICKEN,LOVE LETTER PIZZA & CHICKEN,15435 S WESTERN AVE STE 112,GARDENA,90249
7-ELEVEN #37175A,7-ELEVEN #37175A,3523 E 1ST ST,LOS ANGELES,90063
GNC #9130,GNC #9130,8732 WASHINGTON BLVD,PICO RIVERA,90660
M JUICERY AND CREAMERY,M JUICERY AND CREAMERY,19 S GARFIELD AVE STE C,ALHAMBRA,91801
BEVERLYWOOD MARKET,BEVERLYWOOD MARKET,1800 S ROBERTSON BLVD STE #1,LOS ANGELES,90035
TOKYO BEEF BOWL,TOKYO BEEF BOWL,5938 PACIFIC BLVD,HUNTINGTON PARK,90255
SIX FLAGS MAGIC MOUNTAIN & SIX FLAGS HURRICANE HARBOR,CORN CORNER,26101 MAGIC MOUNTAIN PKWY,VALENCIA,91355
JOSHUA'S MARKET AND CENTER SERVICES,JOSHUA'S MARKET AND CENTER SERVICES,5150 S MAIN ST,LOS ANGELES,90037
OLD BANK GENERAL MARKET,OLD BANK GENERAL MARKET,409 S MAIN ST,LOS ANGELES,90013
BILL'S LIQUOR,BILL'S LIQUOR,1544 W PACIFIC COAST HWY,HARBOR CITY,90710
RAYMONS GAS STATION,RAYMONS GAS STATION,100 S GLENOAKS BLVD,BURBANK,91502
SUBWAY  #30002,SUBWAY #30002,31204 PALOS VERDES DR W,RANCHO PALOS VERDES,90275
PAPA JOHN'S PIZZA #4330,PAPA JOHN'S PIZZA,8646 E WHITTIER BLVD,PICO RIVERA,90660
BOUQUET UNOCAL,BOUQUET UNOCAL,23055 SOLEDAD CANYON RD,SANTA CLARITA,91350
SIX FLAGS MAGIC MOUNTAIN & SIX FLAGS HURRICANE HARBOR,GOLIATH GOODIES,26101 MAGIC MOUNTAIN PKWY,VALENCIA,91355
LALO'S 97  & UP,LALO'S 97  & UP,1035 N MACLAY AVE,SAN FERNANDO,91340
UNITED OIL #182,UNITED OIL #182,5100 W JEFFERSON BLVD,LOS ANGELES,90016
CALIFORNIA 99 CENT & UP,CALIFORNIA 99 CENT & UP,10363 CALIFORNIA AVE,SOUTH GATE,90280
APRIL'S CAKE,APRIL'S CAKE,7848 PACIFIC BLVD STE #A1,HUNTINGTON PARK,90255
SIX FLAGS MAGIC MOUNTAIN & SIX FLAGS HURRICANE HARBOR,COLD STONE CREAMERY SIX FLAGS PLAZA,26101 MAGIC MOUNTAIN PKWY,VALENCIA,91355
TASTYBAO,TASTYBAO,17170 COLIMA RD,HACIENDA HEIGHTS,91745
CAFE MED,CAFE MED,8615 W SUNSET BLVD,WEST HOLLYWOOD,90069
OFFICE MAX #634,OFFICEMAX #634,18050 CHATSWORTH ST,GRANADA HILLS,91344
99 CENTS ONLY STORE #033,99 CENT ONLY STORES # 033,6122 PACIFIC BLVD,HUNTINGTON PARK,90255
