,name,address,review_count,rating,price,categories,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
50,,,,,,,,,,TACOS DON KICHE,778 N NOGALES ST # E,WALNUT,
51,Bobadia,"5626 Whittier Blvd, Los Angeles, CA 90022",1.0,5.0,,"Bubble Tea, Coffee & Tea, Ice Cream & Frozen Yogurt",34.0178573265,-118.149826191,91ow8JioKDo8XLW9Gct_wA,BOBADIA,5626 E WHITTIER,COMMERCE,
52,The Rice Street,"6000 E Florence Ave, Ste B, Bell Gardens, CA 90201",282.0,4.0,$,"Asian Fusion, Thai",33.9670353,-118.1576338,qTSKc4nxxU7eAs67nYmVXQ,RICE STREET,6000 E FLORENCE ST STE B-C,BELL GARDENS,
53,Golden Stop Liquor,"19927 Golden Valley Rd, Santa Clarita, CA 91321",13.0,4.0,$,"Beer, Wine & Spirits",34.3955232843786,-118.484695293009,7BjW25lRiDSuRyM1Yudncg,GOLDEN STOP LIQUOR,19927 GOLDEN VALLEY RD,SANTA CLARITA,
54,Ocean Bo,"3944 Peck Rd, Ste 1, El Monte, CA 91732",477.0,3.5,$$,"Dim Sum, Cantonese, Seafood",34.0766565678405,-118.021445274353,E7lqJQm0Gw7szRdwZEt8Xw,OCEAN BO RESTAURANT,3944 N PECK RD A1,EL MONTE,
55,Fresh Donuts,"3444 Martin Luther King J, Lynwood, CA 90262",5.0,5.0,$,Donuts,33.93606,-118.20875,TUE96AVgXOKzJ0yys45rOQ,FRESH DONUTS,3444 E MLK JR BLVD,LYNWOOD,
56,Subway,"11340 183rd St, Cerritos, CA 90703",48.0,2.0,$,Sandwiches,33.8654204839612,-118.092074328059,aNqyZe8AQoggQzFxttLawQ,SUBWAY SANDWICHES,11340 E 183RD ST,ARTESIA,
57,Big Jim's Donuts,"2401 Whittier Blvd, Los Angeles, CA 90023",17.0,4.0,$,Donuts,34.0344734191895,-118.215194702148,NS4_pAQisDV--XpGSSDsBA,BIG JIM'S DONUTS,2401 E WHITTIER BLVD,LOS ANGELES,
58,El Unico Pollo Taquero,"794 E Mission Blvd, Pomona, CA 91766",80.0,4.0,$,"Mexican, Barbeque",34.0550459893633,-117.7417483,ROh3LrrR8-sdAa5RH3ltMQ,EL UNICO POLLO TAQUERO #2,794 MISSION BLVD,POMONA,
59,Imperial Bakery,"2536 S Figueroa St, Los Angeles, CA 90007",57.0,4.0,$,"Bakeries, Ice Cream & Frozen Yogurt",34.028215655161,-118.275278988361,5fHRx5_Zi6CJM0MFlOvH1g,IMPERIAL BAKERY,2536 S FIGUEROA ST,LOS ANGELES,
60,A & P Donuts,"1307 Huntington Dr, Duarte, CA 91010",19.0,4.0,$,Bakeries,34.140505,-117.9774,NF8LfPfCjzbjXMsAwb-oaQ,A & P DONUTS,1307 E HUNTINGTON DR,DUARTE,
61,Stater Bros. Markets,"11750 Whittier Blvd, Whittier, CA 90601",58.0,3.5,$$,"Grocery, Delis, Butcher",33.9801,-118.05168,iv87tzOWlApOSsDJqVpjJg,STATER BROS MARKETS #137,11750 E WHITTIER BLVD,WHITTIER,
